text_id,model,paragraph_id,paragraph_number,next_paragraph_id,next_paragraph_number,n_unique_lemmas,next_n_unique_lemmas,n_shared_lemmas,n_union_lemmas,y4_jaccard_overlap,n_unique_content_lemmas,next_n_unique_content_lemmas,n_shared_content_lemmas,n_union_content_lemmas,y4_content_jaccard,n_shared_content_word,n_shared_other_function_word,n_shared_pronoun
BASIC_CHATGPT_NATIVE_001,chatgpt_native,BASIC_CHATGPT_NATIVE_001_P01,1,BASIC_CHATGPT_NATIVE_001_P02,2,84,99,29,154,0.18831168831168832,60,65,11,114,0.09649122807017543,10,15,4
BASIC_CHATGPT_NATIVE_001,chatgpt_native,BASIC_CHATGPT_NATIVE_001_P02,2,BASIC_CHATGPT_NATIVE_001_P03,3,99,83,30,152,0.19736842105263158,65,57,10,112,0.08928571428571429,10,18,4
BASIC_CHATGPT_NATIVE_001,chatgpt_native,BASIC_CHATGPT_NATIVE_001_P03,3,BASIC_CHATGPT_NATIVE_001_P04,4,83,46,19,110,0.17272727272727273,57,25,6,76,0.07894736842105263,6,11,1
BASIC_CLAUDE_NATIVE_001,claude_native,BASIC_CLAUDE_NATIVE_001_P01,1,BASIC_CLAUDE_NATIVE_001_P02,2,66,83,14,135,0.1037037037037037,48,62,5,105,0.047619047619047616,5,5,5
BASIC_CLAUDE_NATIVE_001,claude_native,BASIC_CLAUDE_NATIVE_001_P02,2,BASIC_CLAUDE_NATIVE_001_P03,3,83,85,12,156,0.07692307692307693,62,59,5,116,0.04310344827586207,5,8,2
BASIC_GEMINI_NATIVE_001,gemini_native,BASIC_GEMINI_NATIVE_001_P01,1,BASIC_GEMINI_NATIVE_001_P02,2,107,130,29,208,0.13942307692307693,65,74,10,129,0.07751937984496124,9,13,5
BASIC_GEMINI_NATIVE_001,gemini_native,BASIC_GEMINI_NATIVE_001_P02,2,BASIC_GEMINI_NATIVE_001_P03,3,130,111,30,211,0.14218009478672985,74,67,6,135,0.044444444444444446,5,19,4
HUMAN_BASELINE_001,human,HUMAN_BASELINE_001_P01,1,HUMAN_BASELINE_001_P02,2,71,95,24,142,0.16901408450704225,47,69,10,106,0.09433962264150944,10,9,4
HUMAN_BASELINE_001,human,HUMAN_BASELINE_001_P02,2,HUMAN_BASELINE_001_P03,3,95,63,13,145,0.0896551724137931,69,33,5,97,0.05154639175257732,4,6,1
HUMAN_BASELINE_001,human,HUMAN_BASELINE_001_P03,3,HUMAN_BASELINE_001_P04,4,63,74,12,125,0.096,33,48,4,77,0.05194805194805195,4,7,0
HUMAN_BASELINE_001,human,HUMAN_BASELINE_001_P04,4,HUMAN_BASELINE_001_P05,5,74,114,30,158,0.189873417721519,48,80,15,113,0.13274336283185842,14,12,3
