text_id,sentence_distance,y3c_n_pairs,y3c_total_previous_nouns,y3c_total_later_pronouns,y3c_distance_noun_pronoun_ratio,y3c_mean_pair_ratio,y3c_mean_log_pair_ratio
BASIC_CHATGPT_NATIVE_001,2,18,64,40,1.6,2.384,0.414
BASIC_CHATGPT_NATIVE_001,3,17,67,39,1.718,2.206,0.465
BASIC_CHATGPT_NATIVE_001,4,16,67,36,1.861,2.448,0.534
BASIC_CHATGPT_NATIVE_001,5,16,62,36,1.722,2.464,0.49
BASIC_CLAUDE_NATIVE_001,2,17,49,34,1.441,1.956,0.257
BASIC_CLAUDE_NATIVE_001,3,16,51,33,1.545,2.099,0.257
BASIC_CLAUDE_NATIVE_001,4,15,43,32,1.344,1.644,0.179
BASIC_CLAUDE_NATIVE_001,5,14,39,29,1.345,1.952,0.161
BASIC_GEMINI_NATIVE_001,2,20,57,44,1.295,1.792,0.081
BASIC_GEMINI_NATIVE_001,3,19,58,42,1.381,1.925,0.131
BASIC_GEMINI_NATIVE_001,4,18,57,39,1.462,1.625,0.245
BASIC_GEMINI_NATIVE_001,5,17,38,36,1.056,1.157,-0.035
HUMAN_BASELINE_001,2,25,88,44,2,2.247,0.517
HUMAN_BASELINE_001,3,24,87,43,2.023,2.444,0.519
HUMAN_BASELINE_001,4,23,88,42,2.095,2.449,0.567
HUMAN_BASELINE_001,5,22,77,40,1.925,2.402,0.492
