text_id,candidate_type,token_n_in_w,n_pmi,mean_pmi,median_pmi,chance_normalized_association_pct
HUMAN_BASELINE_001,x2a1_nominal,2,20,0.966,0.688,195.351
BASIC_CHATGPT_NATIVE_001,x2a1_nominal,2,12,1.267,1.189,240.626
BASIC_CLAUDE_NATIVE_001,x2a1_nominal,2,18,0.680,0.761,160.234
HUMAN_BASELINE_001,x2a2_predicative,2,11,0.816,0.488,176.061
BASIC_CHATGPT_NATIVE_001,x2a2_predicative,2,6,3.569,3.715,1186.432
BASIC_CLAUDE_NATIVE_001,x2a2_predicative,2,10,2.600,2.126,606.324
HUMAN_BASELINE_001,x2b,2,38,2.455,2.374,548.431
HUMAN_BASELINE_001,x2b,3,148,7.093,6.504,13651.916
BASIC_CHATGPT_NATIVE_001,x2b,2,21,4.661,4.793,2530.093
BASIC_CHATGPT_NATIVE_001,x2b,3,74,9.124,8.894,55791.983
BASIC_CLAUDE_NATIVE_001,x2b,2,18,3.824,4.292,1415.857
BASIC_CLAUDE_NATIVE_001,x2b,3,47,7.668,8.095,20343.760
HUMAN_BASELINE_001,x2c1_subc_sw,2,12,1.786,2.091,344.785
HUMAN_BASELINE_001,x2c1_subc_sw,3,53,6.879,6.017,11769.357
BASIC_CHATGPT_NATIVE_001,x2c1_subc_sw,2,8,4.282,4.815,1945.784
BASIC_CHATGPT_NATIVE_001,x2c1_subc_sw,3,40,8.231,6.570,30044.088
BASIC_CLAUDE_NATIVE_001,x2c1_subc_sw,2,3,3.127,3.565,873.500
BASIC_CLAUDE_NATIVE_001,x2c1_subc_sw,3,9,9.855,10.206,92635.249
HUMAN_BASELINE_001,x2c2_cor_sw,2,4,3.091,2.623,851.947
HUMAN_BASELINE_001,x2c2_cor_sw,3,25,8.062,7.274,26731.240
BASIC_CHATGPT_NATIVE_001,x2c2_cor_sw,2,9,5.591,5.398,4818.820
BASIC_CHATGPT_NATIVE_001,x2c2_cor_sw,3,39,7.429,7.069,17229.949
BASIC_CLAUDE_NATIVE_001,x2c2_cor_sw,2,2,1.339,1.339,252.967
BASIC_CLAUDE_NATIVE_001,x2c2_cor_sw,3,6,6.660,6.619,10113.452
