text_id,candidate_type,token_n_in_w,n_pmi,min_corpus_frequency,median_corpus_frequency,n_singletons,singleton_share_pct,n_sparse_evidence,sparse_evidence_share_pct,mean_pmi_all,median_pmi,mean_pmi_freq_ge2,mean_pmi_freq_ge5
HUMAN_BASELINE_001,x2a1_nominal,2,20,1,658.000,1,5.000,1,5.000,0.966,0.688,1.110,1.110
BASIC_CHATGPT_NATIVE_001,x2a1_nominal,2,12,4,1686.500,0,0.000,1,8.333,1.267,1.189,1.267,1.646
BASIC_CLAUDE_NATIVE_001,x2a1_nominal,2,18,1,178.000,1,5.556,3,16.667,0.680,0.761,0.977,1.374
HUMAN_BASELINE_001,x2a2_predicative,2,11,3,235.000,0,0.000,1,9.091,0.816,0.488,0.816,0.789
BASIC_CHATGPT_NATIVE_001,x2a2_predicative,2,6,31,5493.500,0,0.000,0,0.000,3.569,3.715,3.569,3.569
BASIC_CLAUDE_NATIVE_001,x2a2_predicative,2,10,7,322.500,0,0.000,0,0.000,2.600,2.126,2.600,2.600
HUMAN_BASELINE_001,x2b,2,38,1,2604.000,2,5.263,3,7.895,2.455,2.374,2.441,2.634
HUMAN_BASELINE_001,x2b,3,148,1,162.000,11,7.432,26,17.568,7.093,6.504,7.083,7.288
BASIC_CHATGPT_NATIVE_001,x2b,2,21,41,4567.000,0,0.000,0,0.000,4.661,4.793,4.661,4.661
BASIC_CHATGPT_NATIVE_001,x2b,3,74,1,503.000,4,5.405,6,8.108,9.124,8.894,9.078,9.239
BASIC_CLAUDE_NATIVE_001,x2b,2,18,1,3343.000,1,5.556,1,5.556,3.824,4.292,3.698,3.698
BASIC_CLAUDE_NATIVE_001,x2b,3,47,2,67.000,0,0.000,5,10.638,7.668,8.095,7.668,7.812
HUMAN_BASELINE_001,x2c1_subc_sw,2,12,5,3693.500,0,0.000,0,0.000,1.786,2.091,1.786,1.786
HUMAN_BASELINE_001,x2c1_subc_sw,3,53,1,162.000,3,5.660,6,11.321,6.879,6.017,7.017,7.320
BASIC_CHATGPT_NATIVE_001,x2c1_subc_sw,2,8,75,4894.000,0,0.000,0,0.000,4.282,4.815,4.282,4.282
BASIC_CHATGPT_NATIVE_001,x2c1_subc_sw,3,40,1,661.500,1,2.500,7,17.500,8.231,6.570,8.316,8.354
BASIC_CLAUDE_NATIVE_001,x2c1_subc_sw,2,3,1894,3391.000,0,0.000,0,0.000,3.127,3.565,3.127,3.127
BASIC_CLAUDE_NATIVE_001,x2c1_subc_sw,3,9,1,55.000,1,11.111,1,11.111,9.855,10.206,10.272,10.272
HUMAN_BASELINE_001,x2c2_cor_sw,2,4,9,1263.500,0,0.000,0,0.000,3.091,2.623,3.091,3.091
HUMAN_BASELINE_001,x2c2_cor_sw,3,25,1,874.000,2,8.000,3,12.000,8.062,7.274,8.015,7.954
BASIC_CHATGPT_NATIVE_001,x2c2_cor_sw,2,9,310,2431.000,0,0.000,0,0.000,5.591,5.398,5.591,5.591
BASIC_CHATGPT_NATIVE_001,x2c2_cor_sw,3,39,1,265.000,2,5.128,5,12.821,7.429,7.069,7.630,7.754
BASIC_CLAUDE_NATIVE_001,x2c2_cor_sw,2,2,633,2245.500,0,0.000,0,0.000,1.339,1.339,1.339,1.339
BASIC_CLAUDE_NATIVE_001,x2c2_cor_sw,3,6,28,217.500,0,0.000,0,0.000,6.660,6.619,6.660,6.660
