text_id,x2_family,statistic,token_n_in_w,pmi
HUMAN_BASELINE_001,x2a_functor_based,mean,2,0.9128474891261901
HUMAN_BASELINE_001,x2a_functor_based,median,2,0.517715194921553
BASIC_CHATGPT_NATIVE_001,x2a_functor_based,mean,2,2.034047850324587
BASIC_CHATGPT_NATIVE_001,x2a_functor_based,median,2,1.930288440552675
BASIC_CLAUDE_NATIVE_001,x2a_functor_based,mean,2,1.3658602427384656
BASIC_CLAUDE_NATIVE_001,x2a_functor_based,median,2,1.2211765886207495
HUMAN_BASELINE_001,x2_sequence_based,mean,2,2.3535777628697256
HUMAN_BASELINE_001,x2_sequence_based,median,2,2.3502910614387105
BASIC_CHATGPT_NATIVE_001,x2_sequence_based,mean,2,4.801505251585704
BASIC_CHATGPT_NATIVE_001,x2_sequence_based,median,2,4.861249798727815
BASIC_CLAUDE_NATIVE_001,x2_sequence_based,mean,2,3.5166602161328475
BASIC_CLAUDE_NATIVE_001,x2_sequence_based,median,2,3.7255680542702194
HUMAN_BASELINE_001,x2_sequence_based,mean,3,7.149994957802879
HUMAN_BASELINE_001,x2_sequence_based,median,3,6.488072478890633
BASIC_CHATGPT_NATIVE_001,x2_sequence_based,mean,3,8.458361698472446
BASIC_CHATGPT_NATIVE_001,x2_sequence_based,median,3,7.627801355338718
BASIC_CLAUDE_NATIVE_001,x2_sequence_based,mean,3,7.8883281460565335
BASIC_CLAUDE_NATIVE_001,x2_sequence_based,median,3,7.2925783306169265
